texto_es, texto_en, polaridad
gran trabajo en la del machángara felicitaciones,great job in the machngara congratulations,positivo
cuenca: construcción de la matriz de alcantarillado en las 5 esquinas de,basin construction of the sewage matrix in the 5 corners of,neutral
se desarrolla la sesión de directorio del consejo de seguridad ciudadana dirigida por y presidente de nuestra institución.,The board session of the citizen security council directed by and president of our institution is developed,positivo
sesión de directorio | esta tarde participamos de la sesión de directorio del presidido por el en donde se tratan temas en materia de orden control y seguridad a implementarse en beneficio de la ciudadanía.,directory session  This afternoon we participated in the board session of the chairman where he deals with issues related to order control and security to be implemented for the benefit of citizens,neutral
presencia de act en diferentes sectores de la ciudad.,presence of act in different sectors of the city,neutral
cuando votamos por sabíamos que no tenía experiencia en la administración pública pero que daría nuevos aires a la ciudad. continúe su gestión los buenos cambios no se hacen de la noche a la mañana. la marcha estuvo por demás no caiga en un juego politiquero.,When we voted for we knew that I had no experience in public administration but that it would give new air to the city continue your management good changes are not made overnight the march was for others do not fall into a political game,positivo
se verificó con el personal de act.,It was verified with act staff,neutral
se verificó estimado.,Estimated verified,neutral
ahora | t.crnl. jefe de bomberoscuenca participa en mesa de trabajo presidida por el ing.  con el objetivo de fortalecer la labor interinstitucional en beneficio de la seguridad en los espacios públicos de nuestra ciudad.🚨,ahora  tcrnl jefe de bomberoscuenca participa en mesa de trabajo presidida por el ing  con el objetivo de fortalecer la labor interinstitucional en beneficio de la seguridad en los espacios pblicos de nuestra ciudad,neutral
lo repito siempre emov ep demora en solucionar los reclamos de la ciudadania cuencana,I repeat it always emov ep delay in solving the claims of the citizenship of Cuenca,neutral
importante estimado alcalde,important dear mayor,positivo
siguen los vuelos de cóndores sobre el labrado área de preservación en las alturas del río machangara. video aficionado de guardabosques de conservando el medioambiente.,Condor flights follow over the wrought preservation area on the heights of the Machangara River amateur video of forest rangers conserving the environment,negativo
hasta cuando se soporta el abuso de estos malos ciudadanos ya hace 15 días materiales de construcción en la av 1ro de mayo y calle cantón el pan y nadie hace ni dice nada por favor sancionen,until when the abuse of these bad citizens is supported 15 days ago construction materials on the 1st of May Av and Canton Street the bread and nobody does or says anything please sanction,negativo
que campaña propagandística tan intensa,What an intense propaganda campaign,positivo
bien,well,neutral
